Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc
5045001180600020,5,4,50,1,18060,20,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13115002205880006,13,11,50,2,20588,6,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5015001153230005,5,1,50,1,15323,5,0,,,,,,,,,,,,,,,
6035001061830006,6,3,50,1,6183,6,0,,,,,,,,,,,,,,,
13075002199680002,13,7,50,2,19968,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10045301143150017,10,4,53,1,14315,17,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22045202013360003,22,4,52,2,1336,3,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5045001173390010,5,4,50,1,17339,10,0,,,,,,,,,,,,,,,
13115002205880019,13,11,50,2,20588,19,0,,,,,,,,,,,,,,,
21075003016960004,21,7,50,3,1696,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18075001070380039,18,7,50,1,7038,39,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6015801060020019,6,1,58,1,6002,19,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13045303014940015,13,4,53,3,1494,15,0,,,,,,,,,,,,,,,
12125002041060013,12,12,50,2,4106,13,0,,,,,,,,,,,,,,,
9125002088720006,9,12,50,2,8872,6,0,,,,,,,,,,,,,,,
12065102098940008,12,6,51,2,9894,8,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
18095101070090012,18,9,51,1,7009,12,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1035201073860009,1,3,52,1,7386,9,0,,,,,,,,,,,,,,,
18085301013030017,18,8,53,1,1303,17,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12085002092560002,12,8,50,2,9256,2,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15015103010880007,15,1,51,3,1088,7,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3035301007570006,3,3,53,1,757,6,0,,,,,,,,,,,,,,,
15015603011640003,15,1,56,3,1164,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13045402125120007,13,4,54,2,12512,7,0,,,,,,,,,,,,,,,
9085102003820002,9,8,51,2,382,2,0,,,,,,,,,,,,,,,
5015601052640016,5,1,56,1,5264,16,0,,,,,,,,,,,,,,,
6075501034430017,6,7,55,1,3443,17,0,,,,,,,,,,,,,,,
18075701078820001,18,7,57,1,7882,1,0,,,,,,,,,,,,,,,
5045001192560005,5,4,50,1,19256,5,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6015601062920003,6,1,56,1,6292,3,0,,,,,,,,,,,,,,,
13065703028160007,13,6,57,3,2816,7,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18095001054710014,18,9,50,1,5471,14,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3035001043850010,3,3,50,1,4385,10,0,,,,,,,,,,,,,,,
11095003007840022,11,9,50,3,784,22,0,,,,,,,,,,,,,,,
21045502040130003,21,4,55,2,4013,3,0,,,,,,,,,,,,,,,
1075001195400003,1,7,50,1,19540,3,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13065704003250028,13,6,57,4,325,28,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5015601052640010,5,1,56,1,5264,10,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18016301016610014,18,1,63,1,1661,14,0,,,,,,,,,,,,,,,
2055501114680003,2,5,55,1,11468,3,0,,,,,,,,,,,,,,,
6075401019550012,6,7,54,1,1955,12,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1145001043360001,1,14,50,1,4336,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13035403003240007,13,3,54,3,324,7,0,,,,,,,,,,,,,,,
18035001057440008,18,3,50,1,5744,8,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3035803002950005,3,3,58,3,295,5,0,,,,,,,,,,,,,,,
18016201027520006,18,1,62,1,2752,6,0,,,,,,,,,,,,,,,
6075501034430012,6,7,55,1,3443,12,0,,,,,,,,,,,,,,,
6015601062920039,6,1,56,1,6292,39,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3035101022200005,3,3,51,1,2220,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11015601158700006,11,1,56,1,15870,6,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6095101015430003,6,9,51,1,1543,3,0,,,,,,,,,,,,,,,
10055001091880008,10,5,50,1,9188,8,0,,,,,,,,,,,,,,,
13025003018010008,13,2,50,3,1801,8,0,,,,,,,,,,,,,,,
18016001038740007,18,1,60,1,3874,7,0,,,,,,,,,,,,,,,
6015801055880004,6,1,58,1,5588,4,0,,,,,,,,,,,,,,,
1035001095820006,1,3,50,1,9582,6,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18016201027520016,18,1,62,1,2752,16,0,,,,,,,,,,,,,,,
21065202012160006,21,6,52,2,1216,6,0,,,,,,,,,,,,,,,
9045002032290005,9,4,50,2,3229,5,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6095001025630010,6,9,50,1,2563,10,0,,,,,,,,,,,,,,,
13045003009290015,13,4,50,3,929,15,0,,,,,,,,,,,,,,,
10045501124540003,10,4,55,1,12454,3,0,,,,,,,,,,,,,,,
13045402125120006,13,4,54,2,12512,6,0,,,,,,,,,,,,,,,
12015402122710001,12,1,54,2,12271,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5016201055410003,5,1,62,1,5541,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1095103007080006,1,9,51,3,708,6,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9105002099970007,9,10,50,2,9997,7,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12025002131400005,12,2,50,2,13140,5,0,,,,,,,,,,,,,,,
18015701043920065,18,1,57,1,4392,65,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13125002196050017,13,12,50,2,19605,17,0,,,,,,,,,,,,,,,
13165102238520007,13,16,51,2,23852,7,0,,,,,,,,,,,,,,,
5065001101290003,5,6,50,1,10129,3,0,,,,,,,,,,,,,,,
5015001150930021,5,1,50,1,15093,21,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
18085701018500007,18,8,57,1,1850,7,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18016103001530001,18,1,61,3,153,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4035201033910017,4,3,52,1,3391,17,0,,,,,,,,,,,,,,,
1016301072860004,1,1,63,1,7286,4,0,,,,,,,,,,,,,,,
2055501114960002,2,5,55,1,11496,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10015701101080006,10,1,57,1,10108,6,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8045502167360007,8,4,55,2,16736,7,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6035001051450011,6,3,50,1,5145,11,0,,,,,,,,,,,,,,,
6095001024740001,6,9,50,1,2474,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
