identificador,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr
1016101155210008,0,0,,0.0,0,0,0,0.0
1016101155210009,0,0,,,0,0,0,
1016101155210010,0,0,,,0,0,0,
1016101155230001,0,0,,0.0,0,0,0,0.0
1016101155230002,0,0,,0.0,0,0,0,0.0
1016101155230003,0,0,,,0,0,0,
1016101155230004,0,0,,0.0,0,0,0,0.0
1016101155230005,0,0,,0.0,0,0,0,0.0
1016101155230006,0,0,,,0,0,0,
1016101155230007,0,0,,0.0,0,0,0,0.0
1016101161270002,0,0,,,0,0,0,
1016101161270003,0,0,,,0,0,0,
1016101161270004,0,0,,,0,0,0,
1016101168660001,0,0,,,0,0,0,
1016101168660005,0,0,,,0,0,0,
1016101172560001,0,0,,,0,0,0,
1016101172560002,0,0,,,0,0,0,
1016101172560003,0,0,,,0,0,0,
1016101172560004,0,0,,,0,0,0,
1016101172560005,0,0,,,0,0,0,
1016301072860001,0,0,0.0,0.0,0,0,0,0.0
1016301072860002,0,0,,,0,0,0,
1016301072860003,0,0,,0.0,0,0,0,0.0
1016301072860004,0,0,,0.0,0,0,0,0.0
1016301076910001,0,0,,,0,0,0,
1016301076910002,0,0,0.0,0.0,0,0,0,0.0
1016301076910003,0,0,0.0,0.0,0,0,0,0.0
1016301076910004,0,0,,0.0,0,1,0,0.0
1016301076910005,1,0,1.0,0.0,0,1,0,0.0
1016301076910006,0,0,,,0,0,0,
1016301079090001,0,0,,0.0,0,0,0,0.0
1016301079090002,0,0,,,0,0,0,
1016301093510001,0,0,0.0,0.0,0,0,0,0.0
1016301093510002,0,0,,0.0,0,0,0,0.0
1016401107500001,0,0,,0.0,0,0,0,0.0
1016401107500002,0,0,,0.0,0,0,0,0.0
1016401107500004,0,0,,,0,0,0,
1016401107500005,0,0,,,0,0,0,
1016401107500006,0,0,0.0,0.0,0,0,0,0.0
1016401107500007,0,0,,0.0,0,0,0,0.0
1016401107500008,0,0,0.0,0.0,0,0,0,0.0
1016401107500009,0,0,,0.0,0,0,0,0.0
1016401107500010,0,0,,,0,0,0,
1016401107500011,0,0,,,0,0,0,
1016401107500012,0,0,0.0,0.0,0,0,0,0.0
1016401107500013,0,0,,,0,0,0,
1016401107500014,0,0,0.0,0.0,0,0,0,0.0
1016401107500015,0,0,0.0,0.0,0,0,0,0.0
1016401108500001,0,0,,0.0,0,0,0,0.0
1016401108500002,0,0,,0.0,0,0,0,0.0
1016401108500003,0,0,0.0,0.0,0,0,0,0.0
1016401108500004,0,0,,,0,0,0,
1016401109950001,0,0,0.0,0.0,0,0,0,0.0
1016401109950002,0,0,,0.0,0,0,0,0.0
1016401109950003,0,0,0.0,0.0,0,0,0,0.0
1016401109950004,0,0,,0.0,0,0,0,0.0
1016401109950005,0,0,0.0,0.0,0,0,0,0.0
1016401112240001,0,0,0.0,0.0,0,0,0,0.0
1016401112240003,0,0,0.0,0.0,0,0,0,0.0
1016401112240004,0,0,0.0,0.0,0,0,0,0.0
1016401112240005,0,0,,0.0,0,0,0,0.0
1016401112240006,0,0,,0.0,0,0,0,0.0
1016401112240007,0,0,,,0,0,0,
1016401119840001,0,0,,,0,0,0,
1016401119840002,0,0,0.0,0.0,0,0,0,0.0
1016401119840003,0,0,1.0,0.0,0,0,0,0.0
1016501065490002,0,0,0.0,0.0,0,0,0,0.0
1016501065490003,0,0,0.0,0.0,0,0,0,0.0
1016501065490004,0,0,0.0,0.0,0,0,0,0.0
1016504000650002,0,0,0.0,0.0,0,0,0,0.0
1016504000650003,0,0,0.0,0.0,0,1,0,0.0
