Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,cp_k409ha,cp_k411ha,cp_afecta_prod,cp_riego,cp_aferti,ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,cp_prod,cp_cantidad_npk_fq
12075404000020016,54,0.0,0.0,,,0.0,0,55,1,6,1.5,1.5,7.0,0,0,1.22727272727273,,1.0,,1.22727272727273,
9015255000993982,52,0.0,0.0,1.0,0.0,0.0,0,76,1,23,40.0,40.0,2.0,1,1,36.363636363636395,,,1.0,36.363636363636395,
1155061000992567,50,1.0,0.0,,,1.0,1,37,3,7,10.0,10.0,7.0,1,1,3.63636363636364,1.0,1.0,1.0,3.63636363636364,30.0
2045054000994098,50,0.0,0.0,,,0.0,1,66,1,11,5.0,5.0,7.0,1,1,4.5454545454545485,0.0,0.0,0.0,4.5454545454545485,30.0
2045054000994101,50,0.0,0.0,,,0.0,1,73,1,6,10.0,10.0,7.0,0,1,13.6363636363636,0.0,0.0,0.0,13.6363636363636,60.0
2045054000994111,50,0.0,0.0,,,0.0,1,48,3,1,3.0,3.0,7.0,1,1,3.40909090909091,0.0,0.0,0.0,3.40909090909091,18.0
2045054000994112,50,0.0,0.0,,,0.0,1,74,2,6,17.0,17.0,7.0,0,0,19.9090909090909,0.0,0.0,0.0,19.9090909090909,
2045054000994124,50,0.0,0.0,,,0.0,0,50,1,6,4.99,4.99,7.0,0,0,5.68181818181818,0.0,0.0,0.0,5.68181818181818,
2045054000994125,50,0.0,0.0,,,0.0,1,65,2,5,5.0,5.0,7.0,1,1,4.5454545454545485,0.0,0.0,0.0,4.5454545454545485,500.0
2065055000994006,50,0.0,0.0,,,0.0,1,50,2,2,5.0,5.0,7.0,1,0,4.5454545454545485,0.0,0.0,0.0,4.5454545454545485,
2075059000990576,50,0.0,0.0,0.0,,1.0,1,71,1,17,36.0,36.0,7.0,1,1,40.9090909090909,,1.0,1.0,40.9090909090909,72.0
2075059000990576,50,0.0,0.0,0.0,,1.0,1,71,1,17,14.0,14.0,7.0,1,1,2.2727272727272703,,1.0,1.0,2.2727272727272703,28.0
3036264000991135,62,1.0,0.0,,,0.0,1,54,2,2,9.0,9.0,2.0,1,1,0.363636363636364,1.0,,1.0,0.363636363636364,12.0
3046262000991131,62,0.0,0.0,,,0.0,1,73,7,3,0.5,0.5,7.0,1,1,0.9090909090909092,1.0,1.0,1.0,0.9090909090909092,3.0
7025059000990582,50,1.0,0.0,,,1.0,1,42,2,1,1.0,1.0,7.0,1,1,0.9090909090909092,1.0,1.0,1.0,0.9090909090909092,150.0
7025059000990583,50,0.0,0.0,,,1.0,1,47,2,1,2.0,2.0,7.0,1,1,2.18181818181818,0.0,0.0,0.0,2.18181818181818,2.0
7095254000994051,52,0.0,0.0,,,0.0,1,44,2,3,30.0,30.0,5.0,1,0,4.5454545454545485,0.0,0.0,0.0,4.5454545454545485,
7095454000994048,54,1.0,0.0,,,1.0,1,70,1,2,7.0,7.0,1.0,0,0,0.272727272727273,0.0,0.0,0.0,0.272727272727273,
7095454000994050,54,0.0,0.0,,,0.0,1,64,2,41,6.97,6.97,2.0,1,1,0.9090909090909092,1.0,1.0,1.0,0.9090909090909092,15.0
7095454000994061,54,1.0,0.0,,,1.0,1,56,2,3,7.0,7.0,7.0,0,0,1.81818181818182,,1.0,1.0,1.81818181818182,
7095454000994065,54,0.0,0.0,,,0.0,1,34,2,1,2.0,2.0,1.0,1,1,1.02272727272727,1.0,1.0,1.0,1.02272727272727,4.0
7095454000994071,54,0.0,0.0,,,0.0,1,72,1,1,6.0,2.0,1.0,1,0,0.454545454545455,1.0,1.0,1.0,0.454545454545455,
7095454000994073,54,0.0,0.0,,,1.0,1,31,2,4,3.0,3.0,7.0,0,0,0.9090909090909092,0.0,0.0,0.0,0.9090909090909092,
7095454000994104,54,0.0,0.0,,,0.0,1,57,3,1,3.12,3.12,1.0,1,1,1.09090909090909,1.0,1.0,1.0,1.09090909090909,
7095454000994119,54,1.0,0.0,,,1.0,1,64,3,2,2.0,2.0,7.0,1,0,0.363636363636364,1.0,1.0,1.0,0.363636363636364,
7095464000992123,54,1.0,0.0,,,0.0,1,63,1,2,10.0,10.0,5.0,1,0,2.2727272727272703,1.0,1.0,1.0,2.2727272727272703,
7105661000993064,56,0.0,0.0,,,0.0,1,55,2,3,2.0,2.0,7.0,1,0,2.2727272727272703,,1.0,1.0,2.2727272727272703,
7125064000992131,50,0.0,0.0,,,0.0,0,67,1,2,15.5,15.5,2.0,1,1,17.272727272727302,1.0,1.0,1.0,17.272727272727302,24.0
7125154000994084,51,0.0,0.0,,,1.0,1,66,2,3,4.0,4.0,7.0,1,1,1.6363636363636398,0.0,0.0,0.0,1.6363636363636398,20.0
7125762000990342,57,0.0,0.0,,,1.0,0,47,3,2,3.9,3.9,2.0,1,1,4.454545454545452,1.0,1.0,1.0,4.454545454545452,8.0
9015054000992203,50,0.0,0.0,,,0.0,1,91,3,121,452.0,452.0,7.0,1,1,821.8181818181821,0.0,0.0,0.0,821.8181818181821,90400.0
9015054000992203,50,0.0,0.0,,,0.0,1,91,3,121,50.26,,,1,1,,0.0,0.0,0.0,,10000.0
9015058000990127,50,0.0,0.0,,,0.0,1,63,3,211,12.0,12.0,7.0,1,1,4.36363636363636,0.0,0.0,0.0,4.36363636363636,1200.0
9015058000990127,50,0.0,0.0,,,0.0,1,63,3,211,30.0,,,0,0,,0.0,0.0,0.0,,
9015058000990133,50,0.0,0.0,,,0.0,1,99,3,6,7.0,7.0,1.0,1,1,6.36363636363636,0.0,0.0,0.0,6.36363636363636,1000.0
9015058000990140,50,0.0,0.0,,,0.0,1,99,2,26,50.0,50.0,1.0,1,0,31.818181818181802,1.0,1.0,1.0,31.818181818181802,
9015058000990143,50,0.0,0.0,,,0.0,1,99,3,549,140.0,140.0,7.0,1,1,267.272727272727,1.0,1.0,1.0,267.272727272727,56000.0
9015059000990594,50,0.0,0.0,,,0.0,0,99,2,2,20.0,20.0,1.0,0,0,8.18181818181818,0.0,0.0,0.0,8.18181818181818,
9015061000992309,50,0.0,0.0,,,0.0,1,99,3,23,10.0,10.0,7.0,1,0,6.81818181818182,0.0,0.0,0.0,6.81818181818182,
9015061000992490,50,0.0,0.0,,,0.0,0,99,2,8,30.0,30.0,1.0,1,1,30.0,0.0,0.0,0.0,30.0,9000.0
9015061000992490,50,0.0,0.0,,,0.0,0,99,2,8,5.0,,,1,1,,0.0,0.0,0.0,,300.0
9015062000990407,50,0.0,0.0,,,0.0,0,99,3,13,49.0,49.0,7.0,1,1,55.6818181818182,0.0,0.0,0.0,55.6818181818182,19000.0
9015062000990565,50,0.0,0.0,,0.0,0.0,1,62,2,3,0.5,0.5,7.0,0,0,0.136363636363636,0.0,0.0,0.0,0.136363636363636,
9015064000990975,50,0.0,0.0,,,0.0,1,99,2,4,10.0,10.0,7.0,1,0,2.7272727272727297,0.0,0.0,0.0,2.7272727272727297,
9015255000993971,52,0.0,0.0,,,1.0,1,42,3,22,80.0,80.0,2.0,1,1,109.09090909090901,0.0,0.0,0.0,109.09090909090901,16000.0
9015355000994000,53,0.0,0.0,,0.0,0.0,1,63,2,9,14.0,14.0,7.0,1,0,3.18181818181818,,1.0,1.0,3.18181818181818,
9025054000992213,50,0.0,1.0,,,0.0,1,99,3,113,400.0,400.0,7.0,1,1,818.1818181818179,,,,818.1818181818179,64400.0
9035054000992229,50,0.0,0.0,,,0.0,1,48,3,23,24.75,24.75,7.0,0,0,5.454545454545452,0.0,0.0,0.0,5.454545454545452,
9035061000992290,50,0.0,0.0,,,0.0,1,76,3,74,240.0,170.0,7.0,1,1,79.5454545454545,0.0,0.0,0.0,79.5454545454545,
9035061000992643,50,0.0,0.0,,,0.0,1,38,3,17,130.0,130.0,7.0,1,1,29.5454545454545,0.0,0.0,0.0,29.5454545454545,13000.0
9035061000992928,50,0.0,0.0,,,0.0,1,65,3,16,40.0,30.0,7.0,1,1,39.54545454545449,0.0,0.0,0.0,39.54545454545449,10000.0
9045061000992407,50,0.0,0.0,1.0,0.0,1.0,1,58,2,5,4.0,4.0,1.0,1,1,3.2727272727272703,0.0,0.0,0.0,3.2727272727272703,16.0
9045061000992475,50,0.0,0.0,,0.0,1.0,1,58,2,3,4.0,4.0,2.0,1,1,3.2727272727272703,0.0,0.0,0.0,3.2727272727272703,24.0
9045061000992500,50,0.0,0.0,1.0,0.0,1.0,1,60,3,7,12.0,12.0,2.0,1,1,9.81818181818182,0.0,0.0,0.0,9.81818181818182,36.0
9045061000992540,50,0.0,0.0,,0.0,1.0,1,66,1,6,10.0,10.0,2.0,1,1,8.18181818181818,0.0,0.0,0.0,8.18181818181818,20.0
9045061000992885,50,0.0,0.0,,0.0,1.0,1,71,2,6,7.0,7.0,7.0,1,1,5.72727272727273,0.0,0.0,0.0,5.72727272727273,14.0
9045061000993154,50,0.0,1.0,,,1.0,1,70,3,502,67.5,67.5,2.0,1,1,55.2272727272727,0.0,0.0,0.0,55.2272727272727,68.0
9045061000993154,50,0.0,1.0,,,1.0,1,70,3,502,67.5,67.5,2.0,1,1,55.2272727272727,0.0,0.0,0.0,55.2272727272727,68.0
9045061000993242,50,0.0,0.0,1.0,0.0,0.0,1,54,2,6,3.0,3.0,7.0,1,1,2.7272727272727297,0.0,0.0,0.0,2.7272727272727297,3.0
9085061000992294,50,0.0,0.0,0.0,0.0,1.0,1,40,3,25,73.0,73.0,2.0,1,1,132.727272727273,0.0,0.0,0.0,132.727272727273,
9085061000992400,50,0.0,0.0,0.0,0.0,1.0,1,40,3,3,60.0,60.0,7.0,1,1,49.0909090909091,1.0,1.0,1.0,49.0909090909091,120.0
9085061000992498,50,0.0,0.0,0.0,0.0,0.0,1,46,2,6,2.0,2.0,7.0,0,1,3.18181818181818,0.0,0.0,0.0,3.18181818181818,3.0
9085062000990428,50,0.0,0.0,,,1.0,1,47,3,6,6.0,6.0,2.0,1,1,5.454545454545452,,1.0,1.0,5.454545454545452,9.0
9085162000990381,51,0.0,0.0,,,0.0,1,60,3,2,0.25,0.25,2.0,0,1,0.22727272727272704,0.0,0.0,0.0,0.22727272727272704,0.3
9085164000991028,51,0.0,0.0,,0.0,1.0,0,47,2,9,1.0,1.0,2.0,0,0,0.818181818181818,,1.0,1.0,0.818181818181818,
9085164000991030,51,0.0,0.0,,,0.0,1,99,3,3,1.0,1.0,2.0,0,1,0.954545454545455,0.0,0.0,0.0,0.954545454545455,1.0
9095052000990256,50,1.0,1.0,,,0.0,1,65,3,71,14.0,14.0,2.0,1,1,20.3636363636364,0.0,0.0,0.0,20.3636363636364,168.0
9095054000992216,50,0.0,0.0,,,1.0,1,32,3,22,141.98,141.98,5.0,1,1,64.5,0.0,0.0,0.0,64.5,564.0
9095064000991017,50,0.0,0.0,,,0.0,1,60,3,12,7.0,7.0,7.0,0,0,3.81818181818182,,1.0,1.0,3.81818181818182,
9105062000990460,50,0.0,0.0,,,0.0,1,63,2,1,3.5,3.5,7.0,1,1,2.2727272727272703,,,1.0,2.2727272727272703,14.0
9105463000993485,54,0.0,0.0,,,1.0,1,64,4,1,3.0,3.0,7.0,1,1,2.2727272727272703,0.0,0.0,0.0,2.2727272727272703,450.0
9115052000990217,50,0.0,0.0,,,0.0,1,60,2,267,92.0,92.0,7.0,1,0,108.727272727273,0.0,0.0,0.0,108.727272727273,
9115054000992194,50,0.0,0.0,,,0.0,1,55,4,58,140.0,140.0,7.0,1,1,178.18181818181804,1.0,1.0,1.0,178.18181818181804,17500.0
9115054000992205,50,0.0,0.0,,,0.0,1,26,4,36,124.0,124.0,5.0,1,1,197.27272727272702,,,1.0,197.27272727272702,
9115054000992219,50,0.0,0.0,,,0.0,1,50,3,69,260.0,260.0,7.0,1,1,472.727272727273,1.0,1.0,1.0,472.727272727273,52000.0
9115054000992225,50,0.0,0.0,,,0.0,1,32,4,48,331.29,331.29,7.0,1,1,613.636363636364,1.0,,,613.636363636364,331290.0
9115054000992232,50,0.0,0.0,,,0.0,1,60,3,71,500.0,500.0,1.0,1,1,568.181818181818,1.0,1.0,1.0,568.181818181818,
9115054000994107,50,0.0,0.0,,,0.0,1,50,1,5,7.98,7.98,7.0,1,1,13.6363636363636,,1.0,1.0,13.6363636363636,
9115061000992487,50,0.0,0.0,,,0.0,1,55,3,22,60.0,60.0,6.0,1,0,27.2727272727273,0.0,0.0,0.0,27.2727272727273,
9115062000990499,50,0.0,0.0,,,0.0,1,54,2,5,20.0,20.0,1.0,1,1,9.09090909090909,1.0,1.0,1.0,9.09090909090909,20000.0
9115154000992201,51,0.0,0.0,,,1.0,1,65,3,34,119.5,119.5,2.0,1,0,119.0,0.0,0.0,0.0,119.0,
9115154000992224,51,1.0,1.0,,,0.0,1,40,4,156,332.0,332.0,2.0,1,1,271.63636363636397,0.0,0.0,0.0,271.63636363636397,5312.0
9115254000994109,52,0.0,0.0,,,1.0,0,79,3,16,16.9,16.9,2.0,1,0,14.5454545454545,0.0,0.0,0.0,14.5454545454545,
9115257000992279,52,0.0,0.0,,,0.0,1,46,2,115,1.0,1.0,7.0,1,1,1.3636363636363602,1.0,1.0,1.0,1.3636363636363602,3.0
9115257000992279,52,0.0,0.0,,,0.0,1,46,2,115,4.5,,,1,1,,1.0,1.0,1.0,,8.0
9115257000992279,52,0.0,0.0,,,0.0,1,46,2,115,3.5,,,1,1,,1.0,1.0,1.0,,6.0
9115257000992279,52,0.0,0.0,,,0.0,1,46,2,115,12.0,12.0,7.0,0,1,22.7272727272727,1.0,1.0,1.0,22.7272727272727,15.0
9115454000992233,54,0.0,0.0,0.0,,0.0,0,99,3,36,189.0,189.0,7.0,1,1,300.681818181818,0.0,0.0,0.0,300.681818181818,151200.0
9115454000992234,54,0.0,1.0,,,1.0,1,99,3,81,40.0,40.0,7.0,1,1,54.545454545454504,1.0,1.0,1.0,54.545454545454504,4800.0
9115456000993480,54,0.0,0.0,0.0,,0.0,1,99,3,7,0.5,0.5,7.0,1,1,0.454545454545455,0.0,0.0,0.0,0.454545454545455,100.0
9125052000990253,50,0.0,1.0,,,0.0,1,73,3,81,16.0,16.0,1.0,1,0,4.36363636363636,1.0,1.0,1.0,4.36363636363636,
9145255000993985,52,0.0,0.0,1.0,0.0,1.0,1,48,3,9,5.0,5.0,2.0,1,1,4.5454545454545485,,,1.0,4.5454545454545485,1250.0
9205363000993488,53,0.0,0.0,,,0.0,1,76,3,4,5.0,5.0,5.0,1,0,6.81818181818182,1.0,,1.0,6.81818181818182,
9225054000994113,50,0.0,0.0,,,0.0,0,48,2,3,3.5,3.5,1.0,1,1,5.454545454545452,0.0,0.0,0.0,5.454545454545452,350.0
9225156000993452,51,0.0,0.0,,,0.0,1,66,3,31,144.0,144.0,2.0,1,1,294.545454545455,0.0,0.0,0.0,294.545454545455,144000.0
9275056000993444,50,0.0,0.0,,,0.0,1,38,4,61,65.0,65.0,2.0,1,1,59.0909090909091,0.0,0.0,0.0,59.0909090909091,62150.0
9275061000992561,50,0.0,0.0,,,0.0,0,57,3,28,157.0,157.0,2.0,1,1,178.409090909091,1.0,1.0,1.0,178.409090909091,78500.0
9285054000992192,50,0.0,0.0,1.0,0.0,1.0,1,56,3,71,130.0,130.0,7.0,1,1,265.909090909091,0.0,0.0,0.0,265.909090909091,19500.0
9285061000993148,50,0.0,0.0,,,0.0,0,35,2,2,29.99,29.99,2.0,1,1,20.4545454545455,0.0,0.0,0.0,20.4545454545455,4500.0
9285064000990935,50,0.0,0.0,,,0.0,1,56,3,11,8.0,8.0,7.0,1,1,8.18181818181818,0.0,0.0,0.0,8.18181818181818,
12015064000991044,50,0.0,0.0,,,0.0,1,60,3,6,13.0,13.0,7.0,1,1,17.727272727272698,,1.0,1.0,17.727272727272698,13.0
