Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango
1015801071650018,1,1,58,1,7165,18,1,1,,2,75,4,7,2,1,1,.24,1,1,4
1015801071650019,1,1,58,1,7165,19,1,1,,1,46,4,2,1,2,1,.26,1,1,3
1015801071650020,1,1,58,1,7165,20,1,1,,2,51,4,1,2,1,1,.2,1,1,3
1015801071659999,1,1,58,1,7165,9999,1,1,,1,99,6,7,2,2,2,.25,1,1,6
1015801077640001,1,1,58,1,7764,1,2,,1.5,1,72,4,1,1,2,1,3.29,1,4,4
1015801077640002,1,1,58,1,7764,2,2,,1,1,75,4,7,2,2,2,1.07,1,2,4
1015801077640003,1,1,58,1,7764,3,2,,1,2,42,1,1,2,2,1,.73,1,1,3
1015801077640004,1,1,58,1,7764,4,2,,1,1,28,4,1,1,2,1,.61,1,1,2
1015801077640005,1,1,58,1,7764,5,1,1,,1,54,4,2,1,1,1,.88,1,1,3
1015801077640006,1,1,58,1,7764,6,1,1,,1,49,4,5,2,2,2,12.02,1,6,3
1015801077649999,1,1,58,1,7764,9999,1,1,,1,99,6,7,2,2,2,.22,1,1,6
1015801078400001,1,1,58,1,7840,1,2,,1,1,40,4,1,2,2,2,7.39,1,5,2
1015801078400002,1,1,58,1,7840,2,1,1,,1,31,4,3,2,1,1,2.28,1,3,2
1015801078400003,1,1,58,1,7840,3,1,1,,1,49,4,5,2,2,2,12.02,1,6,3
1015864000991212,1,1,58,64,99,1212,1,1,,2,40,4,2,2,1,1,1100,3,1,2
1015864000991217,1,1,58,64,99,1217,1,1,,1,51,4,2,2,2,2,2000,3,1,3
1015901037520001,1,1,59,1,3752,1,2,,20,1,99,4,1,2,1,1,2,1,3,6
1015901037520002,1,1,59,1,3752,2,1,1,,1,56,4,1,2,2,2,1,1,2,3
1015901037520003,1,1,59,1,3752,3,2,,25,1,60,4,2,2,2,2,1.67,1,2,3
1015901037520004,1,1,59,1,3752,4,1,1,,1,99,4,3,2,1,2,6.5,1,5,6
1015901037520005,1,1,59,1,3752,5,1,1,,2,54,4,1,2,2,2,1,1,2,3
1015901037520006,1,1,59,1,3752,6,1,1,,2,75,4,1,1,2,2,1,1,2,4
1015901037520007,1,1,59,1,3752,7,1,1,,2,31,4,1,1,1,1,2,1,3,2
1015901037520008,1,1,59,1,3752,8,2,,2,2,30,4,2,2,1,1,1.41,1,2,2
1015901037529999,1,1,59,1,3752,9999,1,1,,1,99,4,7,2,2,2,.25,1,1,6
1015901037980001,1,1,59,1,3798,1,2,,10,1,87,4,7,1,2,2,2.5,1,3,5
1015901037980002,1,1,59,1,3798,2,1,1,,1,67,4,7,2,2,2,1,1,2,4
1015901037980003,1,1,59,1,3798,3,1,1,,2,29,4,2,2,2,2,1.39,1,2,2
1015901037980004,1,1,59,1,3798,4,1,1,,2,58,4,1,2,1,1,1.55,1,2,3
1015901037980005,1,1,59,1,3798,5,1,1,,2,44,4,1,2,2,1,.07,1,1,3
1015901037980006,1,1,59,1,3798,6,1,1,,2,30,4,2,2,1,1,1.7,1,2,2
1015901037980007,1,1,59,1,3798,7,1,1,,2,85,4,7,2,2,2,.4,1,1,5
1015901037980008,1,1,59,1,3798,8,1,1,,2,70,4,7,1,2,2,.43,1,1,4
1015901037980009,1,1,59,1,3798,9,1,1,,2,78,4,7,1,2,2,1.01,1,2,4
1015901037980010,1,1,59,1,3798,10,1,1,,2,74,4,7,2,2,1,.35,1,1,4
1015901037980011,1,1,59,1,3798,11,1,1,,2,68,4,7,2,2,2,.47,1,1,4
1015901037980012,1,1,59,1,3798,12,1,1,,1,82,4,2,2,2,2,.8,1,1,5
1015901037980013,1,1,59,1,3798,13,1,1,,1,74,4,1,2,2,1,1.15,1,2,4
1015901037980014,1,1,59,1,3798,14,1,1,,2,66,4,1,1,1,1,1.5,1,2,4
1015901037980015,1,1,59,1,3798,15,2,,2,1,37,4,2,2,2,2,.24,1,1,2
1015901037989999,1,1,59,1,3798,9999,1,1,,1,99,6,7,2,2,2,.35,1,1,6
1015901043600001,1,1,59,1,4360,1,1,1,,2,68,4,7,2,2,2,2.7,1,3,4
1015901043600002,1,1,59,1,4360,2,1,1,,2,55,4,7,2,2,2,4.5,1,4,3
1015901043600003,1,1,59,1,4360,3,2,,10,2,60,4,1,2,2,2,5,1,5,3
1015901043600004,1,1,59,1,4360,4,1,1,,2,66,4,7,1,2,1,1.44,1,2,4
1015901043600005,1,1,59,1,4360,5,1,1,,1,64,1,7,2,2,2,1.9,1,2,4
1015901043609999,1,1,59,1,4360,9999,1,1,,1,99,4,7,2,2,2,.2,1,1,6
1015901047250001,1,1,59,1,4725,1,1,1,,2,92,4,1,2,2,2,.5,1,1,5
1015901047250002,1,1,59,1,4725,2,1,1,,1,76,4,1,2,2,2,1.16,1,2,4
1015901047250003,1,1,59,1,4725,3,1,1,,2,39,5,1,1,2,1,.33,1,1,2
1015901047250004,1,1,59,1,4725,4,1,1,,1,55,5,3,2,1,1,.2,1,1,3
1015901047250005,1,1,59,1,4725,5,1,1,,1,72,5,7,2,2,2,.25,1,1,4
1015901047250006,1,1,59,1,4725,6,2,,99,1,48,4,7,2,2,2,.4,1,1,3
1015901047250007,1,1,59,1,4725,7,2,,10,1,75,4,7,2,2,2,.5,1,1,4
1015901047250008,1,1,59,1,4725,8,1,1,,1,50,5,7,1,2,2,.2,1,1,3
1015901047250009,1,1,59,1,4725,9,1,1,,1,72,4,1,2,1,1,4.71,1,4,4
1015901047250010,1,1,59,1,4725,10,1,1,,1,54,1,1,1,2,1,2.33,1,3,3
1015901047259999,1,1,59,1,4725,9999,1,1,,1,99,6,7,2,2,2,.3,1,1,6
1016001074860001,1,1,60,1,7486,1,1,1,,1,41,4,3,2,2,1,1200,3,1,3
1016001074860002,1,1,60,1,7486,2,1,1,,2,42,4,2,2,1,1,4640,3,1,3
1016001074860003,1,1,60,1,7486,3,1,1,,2,54,4,1,2,2,1,400,3,1,3
1016001074860004,1,1,60,1,7486,4,1,1,,1,52,4,3,2,1,1,1087,3,1,3
1016001074860005,1,1,60,1,7486,5,1,1,,1,47,4,3,2,1,2,1200,3,1,3
1016001074860006,1,1,60,1,7486,6,2,,.05,1,73,4,7,2,2,2,1300,3,1,4
1016001074860007,1,1,60,1,7486,7,2,,3,1,55,4,1,2,2,1,3380,3,1,3
1016001074860008,1,1,60,1,7486,8,2,,1,1,79,4,3,2,2,2,2.52,1,3,4
1016001074860009,1,1,60,1,7486,9,1,1,,2,63,4,1,2,2,2,800,3,1,4
