Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin
1016001074860007,1,1,60,1,7486,7,.338,6,4,2,6,4,2,,,,,,,1,,,4,134.469084865496
1016001074860008,1,1,60,1,7486,8,2.52,1,1,,1,1,,,,,,,,1,,,4,16.6395623782305
1016001074860009,1,1,60,1,7486,9,.08,5,3,2,5,3,2,,,,,,,1,,,4,21.4159913758353
1016001080970001,1,1,60,1,8097,1,.7,4,2,2,4,2,2,,,,,,,1,,,4,30.9153239930841
1016001080970003,1,1,60,1,8097,3,.54,3,2,1,3,2,1,,,,,,,1,,,4,162.681480235876
1016001080970005,1,1,60,1,8097,5,.5,1,1,,1,1,,,,,,,,1,,,4,36.8471244870184
1016001080970006,1,1,60,1,8097,6,.51,4,2,2,4,2,2,,,,,,,1,,,4,46.5617865275611
1016001080970007,1,1,60,1,8097,7,.6,2,1,1,2,1,1,,,,,,,1,,,4,9.4945949546983
1016001081820003,1,1,60,1,8182,3,17.53,10,7,3,4,2,2,1,,1,5,5,,1,,,4,1.1186855515717
1016001083850001,1,1,60,1,8385,1,17.53,5,3,2,4,3,1,1,,1,,,,1,,,4,13.7474476270709
1016001083850002,1,1,60,1,8385,2,2,2,1,1,2,1,1,,,,,,,1,,,4,20.1936187488087
1016001083850003,1,1,60,1,8385,3,.5,1,,1,1,,1,,,,,,,1,,,4,8.17939422830403
1016001083850004,1,1,60,1,8385,4,.32,2,1,1,2,1,1,,,,,,,1,,,4,90.7901786371795
1016001083850007,1,1,60,1,8385,7,3,1,,1,1,,1,,,,,,,1,,,4,51.6138809813987
1016001083850008,1,1,60,1,8385,8,1,1,1,,1,1,,,,,,,,1,,,4,75.9960451836836
1016001084070003,1,1,60,1,8407,3,1.35,3,3,,2,2,,,,,1,1,,1,,,4,17.4091679493363
1016001084070007,1,1,60,1,8407,7,.47,2,1,1,2,1,1,,,,,,,1,,,4,48.4151508177213
1016001084070009,1,1,60,1,8407,9,.25,1,,1,1,,1,,,,,,,1,,,4,73.0598282525118
1016001084070011,1,1,60,1,8407,11,.15,1,,1,1,,1,,,,,,,1,,,4,117.042543968955
