Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
13145002160390001,50,0.0,0.0,0.0,0.0,0.0,1,53,1,15,6.0,47.0,1.0,0,1,113.636363636364,0.0,0.0,0.0,113.636363636364,0.0
12045002083840007,50,0.0,0.0,1.0,0.0,0.0,1,45,1,1,16.0,19.0,6.0,1,1,102.45454545454541,0.0,0.0,0.0,102.45454545454541,8550.0
13145002155660004,50,0.0,0.0,,0.0,0.0,1,72,3,31,6.0,18.0,1.0,0,1,136.363636363636,,1.0,1.0,136.363636363636,500.0
11015601155400004,56,0.0,0.0,,0.0,0.0,1,67,1,2,3.0,0.35,6.0,0,0,0.0,1.0,1.0,1.0,0.31818181818181795,0.0
13145304001350002,53,0.0,0.0,,0.0,0.0,0,51,7,32,8.0,3.0,1.0,0,1,2.2727272727272703,1.0,1.0,1.0,2.2727272727272703,700.0
9245002059130003,50,0.0,0.0,1.0,0.0,0.0,1,57,1,8,7.0,35.0,6.0,0,1,159.090909090909,1.0,,,159.090909090909,7000.0
12035002136390007,50,0.0,0.0,0.0,0.0,0.0,1,40,2,2,10.0,9.0,6.0,0,1,40.9090909090909,0.0,0.0,0.0,40.9090909090909,25.0
13105102254400005,51,0.0,0.0,,0.0,0.0,1,42,7,11,9.0,3.0,6.0,0,1,13.6363636363636,1.0,,1.0,13.6363636363636,0.0
11145101113700004,51,0.0,0.0,,0.0,0.0,1,81,7,5,8.0,0.7,6.0,1,1,2.7272727272727297,0.0,0.0,0.0,2.7272727272727297,0.0
13155002165050006,50,0.0,0.0,,0.0,0.0,1,47,1,8,0.0,0.0,,0,1,0.0,0.0,0.0,0.0,0.0,200.0
13145304001350015,53,0.0,0.0,,0.0,0.0,1,49,7,4,6.0,6.0,1.0,0,1,7.90909090909091,,1.0,1.0,8.18181818181818,1000.0
9085102006500005,51,0.0,0.0,,0.0,0.0,1,58,1,3,6.0,0.5,6.0,0,1,3.5,0.0,0.0,0.0,3.5,50.0
13065102236140002,51,0.0,0.0,,0.0,0.0,1,68,1,6,7.0,0.5,1.0,0,1,2.7272727272727297,,1.0,1.0,2.7272727272727297,1.0
12085002069650011,50,0.0,0.0,0.0,0.0,0.0,1,46,1,12,18.0,35.0,6.0,0,1,158.6363636363637,0.0,0.0,0.0,159.0909090909091,5500.0
12045202108780004,52,0.0,0.0,,0.0,0.0,1,53,1,1,12.0,0.5292,2.0,0,1,2.7272727272727297,0.0,0.0,0.0,2.7272727272727297,50.0
12075202052520005,52,0.0,0.0,,0.0,0.0,1,46,1,5,13.0,50.0,6.0,0,1,104.54545454545459,0.0,0.0,0.0,104.54545454545459,10000.0
24015502001460004,55,0.0,0.0,,0.0,0.0,1,75,1,6,6.0,12.0,2.0,0,1,38.1818181818182,0.0,0.0,0.0,38.1818181818182,0.0
12115002018500001,50,0.0,0.0,1.0,0.0,0.0,1,42,3,8,8.0,48.0,6.0,1,1,240.0,0.0,0.0,0.0,240.0,19200.0
