Identificador;ual_prov;ual_cant;ual_parr;ual_estr;ual_segm;al_ncues;ec19_actafec;ec19_dadinsu;ec19_dconmob;ec19_dtraterre;ec19_dofretrab;ec19_pveprfalt;ec19_pveprausc;ec19_accecred;ec19_recayamag;ec19_recayusgr;ec19_recayugc;ec19_recayugadm;ec19_recayugadp;ec19_recayuong;ec19_recayuotro;ec19_recayudesc
10065301034040001;10;06;53;01;03404;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12075202036970024;12;07;52;02;03697;0024;1;2;2;1;2;1;1;2;2;2;2;2;2;2;2; 
13175202030080001;13;17;52;02;03008;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
18065201093360001;18;06;52;01;09336;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09025002074100006;09;02;50;02;07410;0006;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
12075202036970020;12;07;52;02;03697;0020;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
06105002000430007;06;10;50;02;00043;0007;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2; 
08015402073310002;08;01;54;02;07331;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12055302036170010;12;05;53;02;03617;0010;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09115002143130001;09;11;50;02;14313;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10065201027710001;10;06;52;01;02771;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
13115102177000005;13;11;51;02;17700;0005;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
01075001206870001;01;07;50;01;20687;0001;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2; 
05055001190580008;05;05;50;01;19058;0008;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
09205302112240003;09;20;53;02;11224;0003;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
01025001205050002;01;02;50;01;20505;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
24015204000520005;24;01;52;04;00052;0005;1;2;1;1;2;1;1;2;2;2;2;2;2;2;2; 
07105101113040001;07;10;51;01;11304;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
17016901086430001;17;01;69;01;08643;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
09205302112240001;09;20;53;02;11224;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
04055301064080004;04;05;53;01;06408;0004;1;1;2;2;2;1;1;2;1;2;2;2;2;2;2; 
14025501091460003;14;02;55;01;09146;0003;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09115402119240001;09;11;54;02;11924;0001;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
10035201137030002;10;03;52;01;13703;0002;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2; 
01015701021550001;01;01;57;01;02155;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11145301124810003;11;14;53;01;12481;0003;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
04045001055670002;04;04;50;01;05567;0002;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2; 
09115402133430005;09;11;54;02;13343;0005;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
17025301023610012;17;02;53;01;02361;0012;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
08055602015380001;08;05;56;02;01538;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
05016201044020001;05;01;62;01;04402;0001;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2; 
07065401002450001;07;06;54;01;00245;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10015201140500003;10;01;52;01;14050;0003;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
06075401005530001;06;07;54;01;00553;0001;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
11025001180440003;11;02;50;01;18044;0003;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2; 
17016301136280006;17;01;63;01;13628;0006;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2; 
17055001230200001;17;05;50;01;23020;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
21015304001870001;21;01;53;04;00187;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02075002000470010;02;07;50;02;00047;0010;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
08045002146960003;08;04;50;02;14696;0003;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
07105402026450002;07;10;54;02;02645;0002;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2; 
13025103016930013;13;02;51;03;01693;0013;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
13135302227470007;13;13;53;02;22747;0007;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2; 
